,Ordinary Shares Number,Share Issued,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Total Liabilities Net Minority Interest,Total Assets,ticker,date,Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares
0,20337906.0,20337906.0,35399000.0,35399000.0,35399000.0,35399000.0,35399000.0,35399000.0,35399000.0,6772000.0,42171000.0,BSQR,2022-12-31,BSQR,BSQUARE Corporation - Common Stock,S,N,N,100.0,N,N
1,20374406.0,20374406.0,39125000.0,39125000.0,39125000.0,39125000.0,39125000.0,39125000.0,39125000.0,8633000.0,47758000.0,BSQR,2021-12-31,BSQR,BSQUARE Corporation - Common Stock,S,N,N,100.0,N,N
2,13235038.0,13235038.0,8580000.0,10235000.0,8580000.0,8651000.0,9285000.0,8651000.0,8651000.0,13631000.0,22282000.0,BSQR,2020-12-31,BSQR,BSQUARE Corporation - Common Stock,S,N,N,100.0,N,N
3,13042293.0,13042293.0,9527000.0,9696000.0,9527000.0,9696000.0,9696000.0,9696000.0,9696000.0,13359000.0,23055000.0,BSQR,2019-12-31,BSQR,BSQUARE Corporation - Common Stock,S,N,N,100.0,N,N
4,14751000.0,14751000.0,117043588.0,117043588.0,117043588.0,117043588.0,117043588.0,117043588.0,117043588.0,1243379.0,118286967.0,WAVS,2022-12-31,WAVS,Western Acquisition Ventures Corp. - Common Stock,G,N,D,100.0,N,N
5,14751000.0,14751000.0,13629.0,93629.0,13629.0,13629.0,13629.0,13629.0,13629.0,313400.0,327029.0,WAVS,2021-12-31,WAVS,Western Acquisition Ventures Corp. - Common Stock,G,N,D,100.0,N,N
6,54827734.0,54827734.0,-119989000.0,-66406000.0,-119989000.0,-118554000.0,-85106000.0,-118554000.0,-118554000.0,174229000.0,55675000.0,AQST,2022-12-31,AQST,"Aquestive Therapeutics, Inc. - Common Stock",G,N,N,100.0,N,N
7,41228736.0,41228736.0,-82185000.0,-28558000.0,-82185000.0,-82134000.0,-30583000.0,-82134000.0,-82134000.0,144127000.0,61993000.0,AQST,2021-12-31,AQST,"Aquestive Therapeutics, Inc. - Common Stock",G,N,N,100.0,N,N
8,34569254.0,34569254.0,-48599000.0,-11593000.0,-48599000.0,-48497000.0,-14168000.0,-48497000.0,-48497000.0,111381000.0,62884000.0,AQST,2020-12-31,AQST,"Aquestive Therapeutics, Inc. - Common Stock",G,N,N,100.0,N,N
9,33562885.0,33562885.0,-6561000.0,54216000.0,-6561000.0,-6122000.0,54216000.0,-6122000.0,-6122000.0,84601000.0,78479000.0,AQST,2019-12-31,AQST,"Aquestive Therapeutics, Inc. - Common Stock",G,N,N,100.0,N,N
10,22216789.0,22216789.0,213468000.0,62201000.0,213468000.0,228143000.0,248994000.0,228143000.0,228143000.0,2325007000.0,2553150000.0,WNEB,2022-12-31,WNEB,"Western New England Bancorp, Inc. - Common Stock",Q,N,N,100.0,N,N
11,22656515.0,22656515.0,208638000.0,22286000.0,208638000.0,223688000.0,245974000.0,223688000.0,223688000.0,2314737000.0,2538425000.0,WNEB,2021-12-31,WNEB,"Western New England Bancorp, Inc. - Common Stock",Q,N,N,100.0,N,N
12,25276193.0,25276193.0,211216000.0,57850000.0,211216000.0,226640000.0,284490000.0,226640000.0,226640000.0,2139246000.0,2365886000.0,WNEB,2020-12-31,WNEB,"Western New England Bancorp, Inc. - Common Stock",Q,N,N,100.0,N,N
13,26557981.0,26557981.0,216225000.0,240515000.0,216225000.0,232024000.0,437539000.0,232024000.0,232024000.0,1949452000.0,2181476000.0,WNEB,2019-12-31,WNEB,"Western New England Bancorp, Inc. - Common Stock",Q,N,N,100.0,N,N
14,1219573.0,1219573.0,-23959064.0,24048947.0,-23959064.0,8911039.0,22930226.0,8911039.0,8911039.0,29516690.0,38427729.0,RELIW,2022-12-31,RELIW,"Reliance Global Group, Inc. - Series A Warrants",S,N,N,100.0,N,N
15,730407.0,730407.0,-43195306.0,-17713118.0,-43195306.0,-26066129.0,-18627038.0,-26066129.0,-26066129.0,53741692.0,27675563.0,RELIW,2021-12-31,RELIW,"Reliance Global Group, Inc. - Series A Warrants",S,N,N,100.0,N,N
